work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1.0,SE,FT,Principal Data Scientist,0.0024346910574455484,EUR,0.18143584164291432,ES,1.0,ES,L
1.0,MI,CT,ML Engineer,0.0007896295321445021,USD,0.05589972755963567,US,1.0,US,S
1.0,MI,CT,ML Engineer,0.000641573994867408,USD,0.04578436749777462,US,1.0,US,S
1.0,SE,FT,Data Scientist,0.005560307955517536,USD,0.3818391073307139,CA,1.0,CA,M
1.0,SE,FT,Data Scientist,0.003750740277686385,USD,0.25820692879685664,CA,1.0,CA,M
1.0,SE,FT,Applied Scientist,0.007113246035401723,USD,0.48793799509067864,US,0.0,US,L
1.0,SE,FT,Applied Scientist,0.00427715996578272,USD,0.2941726534612515,US,0.0,US,L
1.0,SE,FT,Data Scientist,0.007007962097782456,USD,0.48074485015779966,CA,0.0,CA,M
1.0,SE,FT,Data Scientist,0.004441666118312824,USD,0.30541194241887487,CA,0.0,CA,M
1.0,SE,FT,Data Scientist,0.004642363624399552,USD,0.31912387494717537,US,0.0,US,M
1.0,SE,FT,Data Scientist,0.002786734223859972,USD,0.19234469550518357,US,0.0,US,M
1.0,SE,FT,Data Analyst,0.004079752582746595,USD,0.2806855067121034,US,1.0,US,M
1.0,SE,FT,Data Analyst,0.0030927156675659667,USD,0.21324977296636308,US,1.0,US,M
1.0,EN,FT,Applied Scientist,0.006832269526880304,USD,0.4687412895510579,US,0.0,US,L
1.0,EN,FT,Applied Scientist,0.00410475751793117,USD,0.28239387863366217,US,0.0,US,L
1.0,SE,FT,Data Modeler,0.004642363624399552,USD,0.31912387494717537,US,0.0,US,M
1.0,SE,FT,Data Modeler,0.002786734223859972,USD,0.19234469550518357,US,0.0,US,M
1.0,SE,FT,Data Scientist,0.005395801802987431,USD,0.37059981837309053,US,0.0,US,M
1.0,SE,FT,Data Scientist,0.004737777192867013,USD,0.32564266254259694,US,0.0,US,M
1.0,MI,FT,Data Analyst,0.004737777192867013,USD,0.32564266254259694,US,1.0,US,M
1.0,MI,FT,Data Analyst,0.003421727972626176,USD,0.23572835088160984,US,1.0,US,M
1.0,SE,FT,Research Engineer,0.008850431006119628,USD,0.6066248864831816,DE,0.0,DE,M
1.0,SE,FT,Research Engineer,0.005527406725011515,USD,0.3795912495391892,DE,0.0,DE,M
1.0,SE,FT,Analytics Engineer,0.0073698756333486866,USD,0.5054712858645711,GB,1.0,GB,M
1.0,SE,FT,Analytics Engineer,0.004514048825426071,USD,0.31035722956022915,GB,1.0,GB,M
1.0,SE,FT,Business Intelligence Engineer,0.007205369480818582,USD,0.49423199690694775,US,0.0,US,M
1.0,SE,FT,Business Intelligence Engineer,0.004948345068105547,USD,0.3400289524083549,US,0.0,US,M
1.0,SE,FT,Machine Learning Engineer,0.006382838718168059,USD,0.43803555211883083,US,0.0,US,M
1.0,SE,FT,Machine Learning Engineer,0.004079752582746595,USD,0.2806855067121034,US,0.0,US,M
1.0,SE,FT,Data Strategist,0.0027637033625057573,USD,0.1907711950511163,CA,0.0,CA,M
1.0,SE,FT,Data Strategist,0.0021714812133973808,USD,0.15030975480367212,CA,0.0,CA,M
1.0,SE,FT,Data Engineer,0.008133184181088372,USD,0.5576215866279437,US,0.0,US,M
1.0,SE,FT,Data Engineer,0.002786734223859972,USD,0.19234469550518357,US,0.0,US,M
1.0,SE,FT,Computer Vision Engineer,0.011081463446732907,USD,0.75905212332647,US,0.0,US,M
1.0,SE,FT,Computer Vision Engineer,0.005875830756070276,USD,0.40339606355143554,US,0.0,US,M
1.0,MI,FT,Data Engineer,0.005149042574192274,USD,0.3537408849366554,US,0.0,US,M
1.0,MI,FT,Data Engineer,0.004079752582746595,USD,0.2806855067121034,US,0.0,US,M
1.0,MI,FT,Data Analyst,0.003269724287688359,USD,0.22534324788476584,US,0.0,US,M
1.0,MI,FT,Data Analyst,0.0019247219846022239,USD,0.13345082136723704,US,0.0,US,M
1.0,EN,FT,Data Quality Analyst,0.0030927156675659667,USD,0.21324977296636308,NG,1.0,NG,L
1.0,EN,FT,Compliance Data Analyst,0.0007896295321445021,USD,0.05589972755963567,NG,1.0,NG,L
0.6666666666667425,MI,FT,Machine Learning Engineer,0.0540896229518984,INR,0.03563304171124919,IN,0.5,IN,L
1.0,EN,FT,Applied Scientist,0.006534842403105876,USD,0.4484206551156748,US,0.0,US,L
1.0,EN,FT,Applied Scientist,0.0034441008093702703,USD,0.23725689417984663,US,0.0,US,L
1.0,SE,FT,Data Engineer,0.008709054418635256,USD,0.596965841553,US,0.0,US,M
1.0,SE,FT,Data Engineer,0.007089688754359413,USD,0.486328528911947,US,0.0,US,M
